word,antonim
meluas,menyempit
meluaskan,menyempitkan
melupakan,mengingatkan
memacetkan,melancarkan
memadai,kurang
memadamkan,"menyalakan, menyulut"
memaksimalkan,meminimalkan
memanaskan,mendinginkan
memanjang,memendek
memanjangkan,memendekkan
memarani,menjauhi
memasukkan,mengeluarkan
memasung,membebaskan
mematikan,"menghidupkan, menyalakan"
mematuhi,melanggar
membahagiakan,menyengsarakan
membalutkan,menanggalkan
membangkitkan,menidurkan
membanyak,menyedikit
membasahi,mengeringkan
membebaskan,mengurung
membeku,mencair
membekukan,mencairkan
membelakangkan,mengutamakan
membelenggu,melepaskan
membeli,menjual
membelokkan,meluruskan
membenci,menyukai
membengkokkan,meluruskan
membeningkan,mengaburkan
memberatkan,meringankan
memberi,menerima
memberkaskan,menguraikan
membersihkan,mengotori
membesar,mengecil
membesarkan,mengecilkan
membetulkan,menyalahkan
membolehkan,melarang
membuang,memungut
membubarkan,menyatukan
membujuk,menjauhi
membuka,menutup
membukankan,mengiakan
membuncit,mengempis
membuntuti,mendahului
memecah belah,menyatukan
memedulikan,membiarkan
memekatkan,mengencerkan
memelihara,membiarkan
memendek,memanjang
memendekkan,memanjangkan
meminggir,menengah
meminggirkan,menengahkan
memisahkan,menyatukan
mempan,mangkir
mempelajari,mengajar
memper,beda
memperbagus,memperburuk
memperbalahkan,memperdamaikan
memperbanyak,mengurangkan
mempercantik,memperjelek
mempercepat,memperlambat
memperkencang,memperlambat
memperpanjang,memperpendek
mempersingkat,memperpanjang
mempertemukan,perpisahan
mempertentangkan,mempersatukan
mempreteli,"memasang, melengkapi"
memukang-mukang,menyabung-nyambung
memulai,mengakhiri
memunculkan,menenggelamkan
memundurkan,memajukan
memunguti,menaburi
memutus,menyambung
memutuskan,menyambungkan
menaik,menurun
menaiki,menuruni
menaikkan,menurunkan
menajamkan,menumpulkan
menamatkan,memulai
menambah,mengurangkan
menambahi,mengurangi
menambahkan,mengurangkan
menampung,membuang
menanam,menggali
menancapkan,mencabut
menandangi,meninggalkan
menang,kalah
menanggalkan,memakaikan
menanggapi,membiarkan
menangis,tertawa
menangisi,menertawai
menangkup,"membuka, menelentang"
menangkupkan,menelentangkan
menanjak,menurun
menata,memberantakkan
mencacat,memuji
mencacati,kesempurnaan
mencaci,menyanjung
mencagarkan,menebus
mencair,membeku
mencairkan,membekukan
mencampur,memisah
mencampurkan,memisahkan
menceng,lurus
mencepol,memasang
mencerahkan,"menggelapkan, memuramkan"
menceraiberaikan,menyatupadukan
menceraikan,menyatukan
mencerca,memuji
menceriakan,"memuramkan, menodai"
mencermatkan,memboroskan
mencintai,membenci
mencipratkan,mengguyurkan
menciut,mengembang
mencla-mencle,"tetap, hati, konsisten"
mencong,tegak
mencopot,memasang
mencopoti,memasangi
mencurahkan,memendam
mencuram,melandai
mencurigai,memercayai
mendahulukan,mengesampingkan
mendaifkan,memuliakan
mendampingkan,merenggangkan
mendarat,"lepas, landas, berlayar, melaut"
mendatangi,meninggalkan
mendegil,menurut
mendekat,menjauh
mendekatkan,menjauhkan
mendempet,merenggang
mendempetkan,merenggangkan
mendepak,"memilih, merangkul"
mendirikan,"membubarkan, meruntuhkan"
mendistribusikan,mengumpulkan
